Free Agents  Season  CBS Average Projections Scoring Stats
Player,Opp,Bye,FG,FGB,FL,MFG,MXP,Pa2P,PaInt,PaTD,PaYd,Re2P,ReTD,ReYd,Recpt,Ru2P,RuTD,RuYd,XP,XPB,FPTS,
Teddy Bridgewater QB | MIN ,@STL,10,0,0,1.5,0,0,0,9.0,13.5,2404.5,0,0,0,0,0,2.5,170.0,0,0,173.00
Jordan Reed TE | WAS ,@HOU,10,0,0,0,0,0,0,0,0,0,0,6.5,780.0,64.5,0,0,0,0,0,172.50
Kyle Rudolph TE | MIN ,@STL,10,0,0,0,0,0,0,0,0,0,0,7.0,727.5,63.5,0,0,0,0,0,170.50
Zach Ertz TE | PHI ,JAC,7,0,0,0.5,0,0,0,0,0,0,0,6.5,769.0,63.0,0,0,0,0,0,170.00
Danny Woodhead RB | SD,@ARI,10,0,0,1.0,0,0,0,0,0,0,0,4.0,565.0,62.5,0,1.5,347.0,0,0,169.50
Sammy Watkins WR | BUF ,@CHI,9,0,0,1.0,0,0,0,0,0,0,0,6.5,841.0,55.0,0,0,34.0,0,0,169.00
Justin Hunter WR | TEN ,@KC,9,0,0,0,0,0,0,0,0,0,0,6.0,849.0,52.5,0,0,0,0,0,166.50
Ben Tate RB | CLE ,@PIT,4,0,0,3.0,0,0,0,0,0,0,0,0,159.5,25.5,0,7.0,1052.0,0,0,165.50
Fred Jackson RB | BUF ,@CHI,9,0,0,1.5,0,0,0,0,0,0,0,0.5,342.5,39.5,0,6.0,718.0,0,0,165.50
Brian Hartline WR | MIA,NE,5,0,0,1.0,0,0,0,0,0,0,0,1.5,946.0,71.0,0,0,0,0,0,165.00
Mike Evans WR | TB ,CAR,7,0,0,1.0,0,0,0,0,0,0,0,7.0,787.5,53.5,0,0,0,0,0,164.50
Harry Douglas WR | ATL ,NO,9,0,0,0.5,0,0,0,0,0,0,0,3.5,834.0,67.5,0,0,0,0,0,163.50
Dwayne Bowe WR | KC ,TEN,6,0,0,0.5,0,0,0,0,0,0,0,5.0,799.5,63.5,0,0,0,0,0,163.50
Frank Gore RB | SF ,@DAL,8,0,0,1.0,0,0,0,0,0,0,0,0,127.5,15.5,0,7.5,1048.5,0,0,160.50
Antonio Gates TE | SD,@ARI,10,0,0,0.5,0,0,0,0,0,0,0,5.0,732.5,65.5,0,0,0,0,0,159.50
Jarrett Boykin WR | GB ,@SEA,9,0,0,0.5,0,0,0,0,0,0,0,5.5,776.5,57.5,0,0,0,0,0,158.50
Maurice Jones-Drew RB | OAK ,@NYJ,5,0,0,1.0,0,0,0,0,0,0,0,0.5,252.0,33.0,0,4.5,867.5,0,0,157.00
Heath Miller TE | PIT ,CLE,12,0,0,1.0,0,0,0,0,0,0,0,6.0,699.0,61.0,0,0,0,0,0,157.00
Doug Baldwin WR | SEA ,GB,4,0,0,0.5,0,0,0,0,0,0,0,4.5,804.5,57.5,0,0,0,0,0,156.50
Riley Cooper WR | PHI,JAC,7,0,0,1.0,0,0,0,0,0,0,0,5.5,794.5,54.0,0,0,0,0,0,156.00
Anquan Boldin WR | SF,@DAL,8,0,0,0.5,0,0,0,0,0,0,0,5.0,751.5,60.5,0,0,0,0,0,155.50
Darren Sproles RB | PHI,JAC,7,0,0,0.5,0,0,0,0,0,0,0,3.0,522.0,64.5,0,1.5,287.5,0,0,154.50
Martellus Bennett TE | CHI,BUF,9,0,0,0.5,0,0,0,0,0,0,0,5.0,722.5,60.5,0,0,0,0,0,154.50
Devonta Freeman RB | ATL ,NO,9,0,0,1.0,0,0,0,0,0,0,0,1.5,355.5,41.5,0,3.5,633.0,0,0,152.50
